S.no,Ua (V),I (nA)
1,0,-2
2,1,-2
3,2,-3
4,3,-2
5,4,-3
6,5,-2
7,6,-2
8,7,0
9,8,2
10,9,4
11,10,5
12,11,7
13,12,8
14,13,8
15,14,9
16,15,10
17,16,11
18,17,12
19,18,12
20,19,12
21,20,10
22,21,5
23,22,-1
24,23,0
25,24,1
26,25,4
27,26,8
28,27,12
29,28,16
30,29,19
31,30,22
32,31,26
33,32,29
34,33,31
35,34,33
36,35,35
37,36,35
38,37,33
39,38,30
40,39,24
41,40,20
42,41,19
43,42,17
44,43,18
45,44,20
46,45,21
47,46,25
48,47,32
49,48,38
50,49,46
51,50,53
52,51,59
53,52,70
54,53,79
55,54,84
56,55,88
57,56,91
58,57,93
59,58,94
60,59,95
61,60,97
62,61,98
63,62,100
64,63,105
65,64,110
66,65,121
67,66,129
68,67,138
69,68,157
70,69,170
71,70,191
72,71,208
73,72,228
74,73,244
75,74,266
76,75,278
77,76,303
78,77,319
79,78,339
80,79,363
81,80,383
